Address,Price,Sale Date,Type,Bedrooms,Bathrooms,Parking,Rent,Rent date,Agent,State,Suburb,Postcode
28A Ivory Street,"$212,500",Feb 2020,,,,,,,,WA,Noranda,6062
18 Luderman Road,"$616,000",Feb 2020,House,3,1,,,,,WA,Noranda,6062
32 Bramwell Road,"$812,500",Jan 2020,House,4,,,,,,WA,Noranda,6062
51A Forder Road,"$485,000",Jan 2020,,,,,,,,WA,Noranda,6062
27 Callaghan Way,"$600,000",Jan 2020,House,4,1,,,,,WA,Noranda,6062
24 Fitzpatrick Way,"$565,000",Jan 2020,House,5,2,2,,,,WA,Noranda,6062
10A Gullan Close,"$590,000",Jan 2020,House,4,2,4,,,,WA,Noranda,6062
4 Hadley Place,"$600,000",Dec 2019,House,3,2,2,,,,WA,Noranda,6062
5/50 Chambers Way,"$225,000",Dec 2019,House,2,1,1,,,,WA,Noranda,6062
19 Grose Way,"$495,000",Dec 2019,House,4,2,2,$440pw,Apr 2019,,WA,Noranda,6062
6 Smitherson Street,"$425,000",Dec 2019,House,4,2,2,,,,WA,Noranda,6062
9/17 Weatherill Way,"$255,000",Nov 2019,,,,,,,,WA,Noranda,6062
28 Grose Way,"$498,000",Nov 2019,House,4,2,2,,,,WA,Noranda,6062
6 Hepworth Way,"$750,000",Oct 2019,House,4,3,6,$490pw,Jan 2012,Gest Real Estate - Morley,WA,Noranda,6062
10/41 Fitzpatrick Way,"$232,000",Oct 2019,,,,,,,Max Comben Group - MORLEY,WA,Noranda,6062
39A Benara Road,"$287,000",Oct 2019,,,,,,,Gest Real Estate - Morley,WA,Noranda,6062
6 Gillon Road,"$490,000",Oct 2019,House,4,2,2,,,Harcourts Ross Realty - MORLEY,WA,Noranda,6062
6 HEWITT CLOSE,"$510,000",Oct 2019,House,4,2,4,,,Gest Real Estate - Morley,WA,Noranda,6062
9 Ramsay Close,"$532,000",Sep 2019,House,4,2,2,$595pw,Dec 2021,Sell Lease Property - PERTH,WA,Noranda,6062
